sr_no,state,mp,constituency,allocated_amount,work_id_canonical,work_id_status,house,source_file,elected_nominated
90,Odisha,BIBHU PRASAD TARAI,JAGATSINGHPUR(SC),147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
91,Jharkhand,Bidyut Baran Mahato,JAMSHEDPUR,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
92,Assam,BIJULI KALITA MEDHI,GUWAHATI,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
93,Tripura,BIPLAB KUMAR DEB,TRIPURA WEST,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
94,Andaman And Nicobar Islands,BISHNU PADA RAY,ANDAMAN AND NICOBAR ISLANDS,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
95,Rajasthan,BRIJENDRA SINGH OLA,JHUNJHUNU,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
96,Chhattisgarh,BRIJMOHAN AGRAWAL,RAIPUR,153766451.11,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
97,Madhya Pradesh,BUNTY VIVEK SAHU,CHHINDWARA,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
98,Gujarat,C R Patil,NAVSARI,158532494.36,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
99,Andhra Pradesh,C.M.RAMESH,ANAKAPALLE,202531656.11,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
100,Karnataka,CAPTAIN BRIJESH CHOWTA,DAKSHINA KANNADA,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
101,Goa,CAPTAIN VIRIATO FERNANDES,SOUTH GOA,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
102,Telangana,CHAMALA KIRAN KUMAR REDDY,BHONGIR,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
103,Uttar Pradesh,CHANDAN CHAUHAN,BIJNOR,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
104,Rajasthan,Chandra Prakash Joshi,CHITTORGARH,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
105,Uttar Pradesh,CHANDRA SHEKHAR,NAGINA(SC),147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
106,Gujarat,CHANDUBHAI CHHAGANBHAI SHIHORA,SURENDRANAGAR,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
107,Punjab,CHARANJIT SINGH CHANNI,JALANDHAR(SC),147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
108,Maharashtra,CHAVAN VASANTRAO BALWANTRAO,NANDED,,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
109,Uttar Pradesh,CHHATRA PAL SINGH GANGWAR,BAREILLY,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
110,Maharashtra,CHHATRAPATI SHAHU SHAHAJI,KOLHAPUR,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
111,Uttar Pradesh,CHHOTELAL,ROBERTSGANJ(SC),147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
112,Chhattisgarh,CHINTAMANI MAHARAJ,SARGUJA(ST),147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
113,Bihar,CHIRAG PASWAN,HAJIPUR(SC),147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
114,Tamil Nadu,CN Annadurai,TIRUVANNAMALAI,148579509.11,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
115,Tamil Nadu,D M Kathir Anand,VELLORE,160196941.11,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
116,Tamil Nadu,D Ravikumar,VILUPPURAM(SC),197598306.11,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
